Gene name	GO domain	GO term name	GO term definition	GO term accession
ACAP1	molecular_function	GTPase activator activity	Binds to and increases the activity of a GTPase, an enzyme that catalyzes the hydrolysis of GTP.	GO:0005096
ACAP1	molecular_function	protein binding	Binding to a protein.	GO:0005515
ACAP1	cellular_component	endosome	A vacuole to which materials ingested by endocytosis are delivered.	GO:0005768
ACAP1	cellular_component	endosome membrane	The lipid bilayer surrounding an endosome.	GO:0010008
ACAP1	biological_process	protein transport	The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.	GO:0015031
ACAP1	cellular_component	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.	GO:0016020
ACAP1	molecular_function	metal ion binding	Binding to a metal ion.	GO:0046872
ACAP1	cellular_component	recycling endosome membrane	The lipid bilayer surrounding a recycling endosome.	GO:0055038
ACOXL	molecular_function	molecular_function	A molecular process that can be carried out by the action of a single macromolecular machine, usually via direct physical interactions with other molecular entities. Function in this sense denotes an action, or activity, that a gene product (or a complex) performs. These actions are described from two distinct but related perspectives: (1) biochemical activity, and (2) role as a component in a larger system/process.	GO:0003674
ACOXL	molecular_function	acyl-CoA oxidase activity	Catalysis of the reaction: acyl-CoA + O2 = trans-2,3-dehydroacyl-CoA + hydrogen peroxide.	GO:0003997
ACOXL	molecular_function	fatty acid binding	Binding to a fatty acid, an aliphatic monocarboxylic acids liberated from naturally occurring fats and oils by hydrolysis.	GO:0005504
ACOXL	cellular_component	cellular_component	A location, relative to cellular compartments and structures, occupied by a macromolecular machine when it carries out a molecular function. There are two ways in which the gene ontology describes locations of gene products: (1) relative to cellular structures (e.g., cytoplasmic side of plasma membrane) or compartments (e.g., mitochondrion), and (2) the stable macromolecular complexes of which they are parts (e.g., the ribosome).	GO:0005575
ACOXL	cellular_component	peroxisome	A small organelle enclosed by a single membrane, and found in most eukaryotic cells. Contains peroxidases and other enzymes involved in a variety of metabolic processes including free radical detoxification, lipid catabolism and biosynthesis, and hydrogen peroxide metabolism.	GO:0005777
ACOXL	cellular_component	peroxisomal matrix	The volume contained within the membranes of a peroxisome; in many cells the matrix contains a crystalloid core largely composed of urate oxidase.	GO:0005782
ACOXL	biological_process	fatty acid metabolic process	The chemical reactions and pathways involving fatty acids, aliphatic monocarboxylic acids liberated from naturally occurring fats and oils by hydrolysis.	GO:0006631
ACOXL	biological_process	fatty acid beta-oxidation	A fatty acid oxidation process that results in the complete oxidation of a long-chain fatty acid. Fatty acid beta-oxidation begins with the addition of coenzyme A to a fatty acid, and occurs by successive cycles of reactions during each of which the fatty acid is shortened by a two-carbon fragment removed as acetyl coenzyme A; the cycle continues until only two or three carbons remain (as acetyl-CoA or propionyl-CoA respectively).	GO:0006635
