Gene name,GO term name
ACAP1,protein binding
ACAP1,GTPase activator activity
ACAP1,membrane
ACAP1,protein transport
ACAP1,metal ion binding
ACAP1,endosome
ACAP1,regulation of catalytic activity
ACAP1,recycling endosome membrane
ACAP1,
ACAP1,endosome membrane
ACOXL,"oxidoreductase activity, acting on the CH-CH group of donors"
ACOXL,acyl-CoA oxidase activity
ACOXL,fatty acid beta-oxidation
ACOXL,peroxisome
ACOXL,oxidoreductase activity
ACOXL,FAD binding
ACOXL,fatty acid metabolic process
ACOXL,flavin adenine dinucleotide binding
ACOXL,molecular_function
ACOXL,biological_process
ACOXL,fatty acid binding
ACOXL,lipid homeostasis
ACOXL,peroxisomal matrix
ACOXL,cellular_component
ACOXL,fatty acid beta-oxidation using acyl-CoA oxidase
ACOXL,
ACSL1,
ACSL1,membrane
ACSL1,integral component of membrane
ACSL1,nucleotide binding
ACSL1,ATP binding
ACSL1,endoplasmic reticulum
ACSL1,endoplasmic reticulum membrane
ACSL1,lipid metabolic process
ACSL1,intracellular membrane-bounded organelle
ACSL1,mitochondrion
ACSL1,fatty acid metabolic process
ACSL1,mitochondrial outer membrane
ACSL1,peroxisome
ACSL1,ligase activity
ACSL1,lipid biosynthetic process
ACSL1,long-chain fatty acid-CoA ligase activity
ACSL1,peroxisomal membrane
ACSL1,long-chain fatty acid metabolic process
ACSL1,long-chain fatty-acyl-CoA biosynthetic process
ACSL1,positive regulation of cold-induced thermogenesis
ACSL1,long-chain fatty acid import into cell
ACSL1,arachidonate-CoA ligase activity
ACSL1,phytanate-CoA ligase activity
ACSL1,pristanate-CoA ligase activity
ACSL1,very long-chain fatty acid metabolic process
ACSL1,oleoyl-CoA ligase activity
ACSL1,response to nutrient
ACSL1,response to xenobiotic stimulus
ACSL1,response to organic substance
ACSL1,positive regulation of long-chain fatty acid import across plasma membrane
ACSL1,response to organic cyclic compound
ACSL1,fatty acid transport
ACSL1,triglyceride biosynthetic process
ACSL1,adiponectin-activated signaling pathway
ACSL1,response to oleic acid
ACSL1,xenobiotic catabolic process
ACSL1,positive regulation of protein serine/threonine kinase activity
ACSL1,plasma membrane
ADAD1,RNA binding
ADAD1,RNA processing
ADAD1,adenosine deaminase activity
ADAD1,nucleus
ADAD1,cell differentiation
ADAD1,spermatogenesis
ADAD1,cytoplasm
ADAD1,nucleolus
ADAD1,double-stranded RNA binding
ADAD1,double-stranded RNA adenosine deaminase activity
ADAD1,tRNA-specific adenosine deaminase activity
ADAD1,adenosine to inosine editing
ADAD1,spermatid development
ADAD1,male germ cell nucleus
ADAD1,
ADAM30,proteolysis
ADAM30,metalloendopeptidase activity
ADAM30,membrane
ADAM30,integral component of membrane
ADAM30,metal ion binding
ADAM30,peptidase activity
ADAM30,endosome
ADAM30,hydrolase activity
ADAM30,late endosome membrane
ADAM30,metallopeptidase activity
ADAM30,plasma membrane
ADAM30,zinc ion binding
ADAM30,external side of plasma membrane
ADAM30,sperm head plasma membrane
ADAMTS14,proteolysis
ADAMTS14,metalloendopeptidase activity
ADAMTS14,metal ion binding
ADAMTS14,peptidase activity
ADAMTS14,hydrolase activity
ADAMTS14,extracellular region
ADAMTS14,metallopeptidase activity
ADAMTS14,collagen catabolic process
ADAMTS14,extracellular matrix organization
ADAMTS14,extracellular matrix
ADAMTS14,collagen fibril organization
ADCY7,membrane
ADCY7,integral component of membrane
ADCY7,intracellular signal transduction
ADCY7,cyclic nucleotide biosynthetic process
ADCY7,metal ion binding
ADCY7,ATP binding
ADCY7,lyase activity
ADCY7,adenylate cyclase activity
ADCY7,cAMP biosynthetic process
ADCY7,plasma membrane
ADCY7,phosphorus-oxygen lyase activity
ADCY7,nucleotide binding
ADCY7,integral component of plasma membrane
ADCY7,adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADCY7,negative regulation of cytokine production involved in inflammatory response
ADCY7,regulation of adaptive immune response
ADCY7,cellular response to lithium ion
ADCY7,cellular response to ethanol
ADCY7,maternal process involved in female pregnancy
ADCY7,
ADGRL2,
ADGRL2,membrane
ADGRL2,integral component of membrane
ADGRL2,G protein-coupled receptor activity
ADGRL2,G protein-coupled receptor signaling pathway
ADGRL2,cell surface receptor signaling pathway
ADGRL2,carbohydrate binding
ADGRL2,transmembrane signaling receptor activity
ADGRL2,signal transduction
ADGRL2,integral component of plasma membrane
ADGRL2,neuron projection
ADGRL2,adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADGRL2,brain development
ADGRL2,latrotoxin receptor activity
ADGRL2,glutamatergic synapse
ADGRL2,positive regulation of synapse assembly
ADGRL2,response to bacterium
ADGRL2,synapse organization
ADGRL2,integral component of postsynaptic membrane
AFF3,nucleus
AFF3,nucleoplasm
AFF3,cytosol
AFF3,DNA binding
AFF3,nuclear body
AFF3,regulation of gene expression
AFF3,embryonic hindlimb morphogenesis
AFF3,response to tumor necrosis factor
AFF3,super elongation complex
AFF3,double-stranded DNA binding
